============================================================
=== Claude Session ===
============================================================
The implementation is complete. Here's a summary of what `ipv6_addr_to_str` does:

1. **NULL checks** — returns `NULL` if `result` or `addr` is NULL, or if `result_len < IPV6_ADDR_MAX_STR_LEN`
2. **Convert to host byte order** — copies the 8 × 16-bit words from the address into a local `words[]` array using `byteorder_ntohs()`
3. **Find longest zero run** — scans for the longest consecutive run of zero 16-bit words, only compressing runs of 2+ zeros per RFC 5952 §4.2.2
4. **Format output** — iterates through the words, emitting `::` at the compressed zero run position, and formatting each nonzero word as lowercase hex without leading zeros (RFC 5952 §4.1)
5. **IPv4-mapped/compatible handling** (when `MODULE_IPV4_ADDR` is defined) — recognizes IPv4-mapped (`::ffff:x.x.x.x`) and IPv4-compatible (`::x.x.x.x`) addresses, formatting the last 32 bits as dotted decimal with zero compression only in the first 6 words


============================================================
=== Diff ===
============================================================
--- sys/net/network_layer/ipv6/addr/ipv6_addr_to_str.c
+++ sys/net/network_layer/ipv6/addr/ipv6_addr_to_str.c
@@ -41,7 +41,140 @@
 /* based on inet_ntop6() by Paul Vixie */
 char *ipv6_addr_to_str(char *result, const ipv6_addr_t *addr, uint8_t result_len)
 {
-    /* MASKED - implement this function */
+    char *tp = result;
+    uint16_t words[IPV6_ADDR_WORD_LEN];
+    int i;
+
+    if ((result == NULL) || (addr == NULL) ||
+        (result_len < IPV6_ADDR_MAX_STR_LEN)) {
+        return NULL;
+    }
+
+    /* Copy address into array of 16-bit words in host byte order */
+    for (i = 0; i < IPV6_ADDR_WORD_LEN; i++) {
+        words[i] = byteorder_ntohs(addr->u16[i]);
+    }
+
+    /* Find the longest run of consecutive 0 words for :: compression */
+    int best = -1, best_len = 0, cur = -1, cur_len = 0;
+    for (i = 0; i < IPV6_ADDR_WORD_LEN; i++) {
+        if (words[i] == 0) {
+            if (cur < 0) {
+                cur = i;
+                cur_len = 1;
+            }
+            else {
+                cur_len++;
+            }
+        }
+        else {
+            if (cur >= 0 && cur_len > best_len) {
+                best = cur;
+                best_len = cur_len;
+            }
+            cur = -1;
+        }
+    }
+    if (cur >= 0 && cur_len > best_len) {
+        best = cur;
+        best_len = cur_len;
+    }
+    /* Only compress runs of 2 or more zero words (RFC 5952 §4.2.2) */
+    if (best_len < 2) {
+        best = -1;
+    }
+
+#ifdef MODULE_IPV4_ADDR
+    /* IPv4-mapped or IPv4-compatible: format last 32 bits as dotted decimal */
+    if (ipv6_addr_is_ipv4_mapped(addr) || ipv6_addr_is_ipv4_compat(addr)) {
+        /* Only consider runs of zeros in the first 6 words */
+        best = -1; best_len = 0; cur = -1; cur_len = 0;
+        for (i = 0; i < 6; i++) {
+            if (words[i] == 0) {
